month,Passengers
ינו-12,"3,346,000"
פבר-12,"3,239,000"
מרץ-12,"3,627,000"
אפר-12,"3,468,000"
מאי-12,"3,370,000"
יונ-12,"3,515,000"
יול-12,"3,968,000"
אוג-12,"4,147,000"
ספט-12,"3,483,000"
אוק-12,"3,434,000"
נוב-12,"3,115,000"
דצמ-12,"3,472,000"
ינו-13,"3,435,000"
פבר-13,"3,272,000"
מרץ-13,"3,814,000"
אפר-13,"3,502,000"
מאי-13,"3,491,000"
יונ-13,"3,573,000"
יול-13,"3,987,000"
אוג-13,"4,203,000"
ספט-13,"3,433,000"
אוק-13,"3,402,000"
נוב-13,"3,060,000"
דצמ-13,"3,513,000"
ינו-14,"3,405,000"
פבר-14,"3,244,000"
מרץ-14,"3,637,000"
אפר-14,"3,704,000"
מאי-14,"3,692,000"
יונ-14,"3,808,000"
יול-14,"4,370,000"
אוג-14,"4,628,000"
ספט-14,"3,740,000"
אוק-14,"3,715,000"
נוב-14,"3,347,000"
דצמ-14,"3,854,000"
ינו-15,"5,507,000"
פבר-15,"5,333,000"
מרץ-15,"6,073,000"
אפר-15,"5,601,000"
מאי-15,"5,421,000"
יונ-15,"5,608,000"
יול-15,"6,441,000"
אוג-15,"6,712,000"
ספט-15,"5,532,000"
אוק-15,"5,316,000"
נוב-15,"4,862,000"
דצמ-15,"5,716,000"
ינו-16,"5,763,000"
פבר-16,"5,706,000"
מרץ-16,"6,330,000"
אפר-16,"5,758,000"
מאי-16,"5,785,000"
יונ-16,"6,095,000"
יול-16,"7,155,000"
אוג-16,"7,425,000"
ספט-16,"6,179,000"
אוק-16,"5,841,000"
נוב-16,"5,301,000"
דצמ-16,"6,174,000"
ינו-17,"6,243,000"
פבר-17,"5,987,000"
מרץ-17,"6,965,000"
אפר-17,"6,597,000"
מאי-17,"6,236,000"
יונ-17,"6,656,000"
יול-17,"7,619,000"
אוג-17,"8,035,000"
ספט-17,"6,534,000"
אוק-17,"6,280,000"
נוב-17,"5,782,000"
דצמ-17,"6,611,000"
ינו-18,"6,594,000"
פבר-18,"6,332,000"
מרץ-18,"7,430,000"
אפר-18,"6,744,000"
מאי-18,"6,631,000"
יונ-18,"7,133,000"
יול-18,"8,133,000"
אוג-18,"8,463,000"
ספט-18,"6,946,000"
אוק-18,"6,615,000"
נוב-18,"6,090,000"
דצמ-18,"6,928,000"
